club_nom,pays,url,latitude,longitude
AMICALE PONGISTE OZOIR,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+PONGISTE+OZOIR%22+tennis+de+table+France,48.760987,2.692681
AMICALE PONGISTE WOLXHEIM,France,https://www.google.com/maps/search/?api=1&query=%22AMICALE+PONGISTE+WOLXHEIM%22+tennis+de+table+France,48.759108,2.692720
AMIENS LL,France,https://www.google.com/maps/search/?api=1&query=%22AMIENS+LL%22+tennis+de+table+France,49.890705,2.265675
AMIENS STT,France,https://www.google.com/maps/search/?api=1&query=%22AMIENS+STT%22+tennis+de+table+France,49.880121,2.290847
AMIS PONGISTES CRECY LA CHAPELLE,France,https://www.google.com/maps/search/?api=1&query=%22AMIS+PONGISTES+CRECY+LA+CHAPELLE%22+tennis+de+table+France,48.858565,2.921121
AMITIE LINGOLSHEIM,France,https://www.google.com/maps/search/?api=1&query=%22AMITIE+LINGOLSHEIM%22+tennis+de+table+France,48.555951,7.681794
AML CHAMPLITTE,France,https://www.google.com/maps/search/?api=1&query=%22AML+CHAMPLITTE%22+tennis+de+table+France,47.616999,5.511418
AMNEVILLE Tennis de Table,France,https://www.google.com/maps/search/?api=1&query=%22AMNEVILLE+Tennis+de+Table%22+tennis+de+table+France,49.254715,6.140158
AMO.MER TT.,France,https://www.google.com/maps/search/?api=1&query=%22AMO.MER+TT.%22+tennis+de+table+France,47.698299,1.498832
AMPLEPUIS TTC,France,https://www.google.com/maps/search/?api=1&query=%22AMPLEPUIS+TTC%22+tennis+de+table+France,45.971991,4.335041
AMS PONGISTE SAINTE MARGUERITE,France,https://www.google.com/maps/search/?api=1&query=%22AMS+PONGISTE+SAINTE+MARGUERITE%22+tennis+de+table+France,49.511570,0.844297
AMTT MEZE,France,https://www.google.com/maps/search/?api=1&query=%22AMTT+MEZE%22+tennis+de+table+France,43.421791,3.602303
ANCENIS ST GEREON TT,France,https://www.google.com/maps/search/?api=1&query=%22ANCENIS+ST+GEREON+TT%22+tennis+de+table+France,47.368246,-1.184430
ANCERVILLE M.J.C.,France,https://www.google.com/maps/search/?api=1&query=%22ANCERVILLE+M.J.C.%22+tennis+de+table+France,48.636845,5.026125
ANDARD BRAIN Entente Sp.,France,https://www.google.com/maps/search/?api=1&query=%22ANDARD+BRAIN+Entente+Sp.%22+tennis+de+table+France,47.453555,-0.408509
ANDEVILLE PPC,France,https://www.google.com/maps/search/?api=1&query=%22ANDEVILLE+PPC%22+tennis+de+table+France,49.258738,2.165348
